#,Do you currently live in Seattle?,Have you previously lived in Seattle?,When did you live in Seattle?,How long did you live in Seattle?,Where did you move to after Seattle?,How long have you lived in Seattle?,How old are you?,What is your gender?,How would you describe yourself?,In which country were you born?,Where did you move to Seattle from? ,Why did you move to Seattle?,"How many people, including yourself, live at home with you?",What is your yearly income?,Renting in Seattle is easy.,I am confident in my choice of neighborhood.,I knew a lot about Seattle before I moved here.,I visited Seattle before moving here.,I like living in Seattle.,Living in Seattle is worth the rent I pay.,I pay a fair amount for rent.,I am regularly looking for other places to rent.,I need to have a roommate to afford Seattle. ,I would rather live in a different neighborhood in Seattle. ,I would have chosen a different neighborhood in Seattle to live in if I had more knowledge.,Did you use any of the following tools to find housing? ,Other,What alternative helped you find housing?,Broadview,Northgate,Lake City,Greenwood,Wedgwood,Ballard,Phinney,Greenlake,University District,Ravenna,Laurelhurst,Fremont,Wallingford,Magnolia,Queen Anne,Lower Queen Anne,Eastlake,Montlake,Madison Park,South Lake Union,Capitol Hill,Madrona,Belltown,Downtown,First Hill,Central District,Leschi,Pioneer Square,Chinatown / ID ,Beacon Hill,Mt. Baker,West Seattle,Delridge,Columbia City,Seward Park,Southpark,Georgetown,Rainier Valley,Rank the following elements from most important to least important when deciding on housing.,What is your Seattle zip code?,Start Date (UTC),Submit Date (UTC),Network ID
3pfcp99mw6vlcpx3p5df30y9rnx3uj1k,0,Yes,2012,8 years,Everett,,25 to 34,Male,No Answer,United States of America,AZ,Youthful dream.,1,85000,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Apartments.com,,,Unsure,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Unsure,Yes,Yes,Unsure,No,No,No,Yes,Unsure,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Unsure,Unsure,Unsure,Unsure,Yes,Unsure,"Price of rent,Size of housing (i.e. square feet),Pet-friendliness,High quality of bathrooms,High quality of roommates,Parking,High quality of amenities,High quality kitchen,Aesthetics,Safety / lack of crime,Proximity to friends,Walkability,Proximity to nature,Proximity to bars / social scene,Bikability",98101,2021-10-27 21:19:14,2021-10-27 21:25:21,58afdd1baa
mtxds7z4m41nr21dob5mtxds7gmj13a3,1,,,,,< 6 months,18 to 24,Female,White,United States of America,MD,Job offer,1,85000,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Apartments.com,,,Unsure,Unsure,Unsure,Unsure,Unsure,Yes,Unsure,Yes,Unsure,No,No,Yes,Unsure,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Safety / lack of crime,Price of rent,Proximity to nature,Walkability,Proximity to bars / social scene,Parking,High quality of bathrooms,Proximity to friends,High quality kitchen,Aesthetics,High quality of amenities,Size of housing (i.e. square feet),High quality of roommates,Pet-friendliness,Bikability",98107,2021-10-27 20:27:32,2021-10-27 20:32:10,20a93f8158
o0ukw3ytii8monf5ggm61do0ukw3ytml,0,Yes,2020,3.5 years,Denver,,25 to 34,Female,White,United States of America,IL,"Lifestyle change, friends",2,78000,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Zillow,,,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,Yes,Yes,No,Yes,Yes,No,Yes,Unsure,"Safety / lack of crime,High quality of roommates,Price of rent,Size of housing (i.e. square feet),High quality of bathrooms,High quality kitchen,Proximity to bars / social scene,Proximity to nature,Proximity to friends,Walkability,High quality of amenities,Aesthetics,Parking,Pet-friendliness,Bikability",98144,2021-10-27 19:48:54,2021-10-27 19:57:32,4c31e07c55
y817p55q9luvy7ol009odey817p55qnh,1,,,,,< 5 years,25 to 34,Male,White,United States of America,MA,For a job!,1,40000,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Facebook,,,Unsure,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Unsure,Yes,Yes,No,Yes,No,"Proximity to bars / social scene,Proximity to friends,Safety / lack of crime,Price of rent,High quality of amenities,High quality of roommates,Size of housing (i.e. square feet),Bikability,Proximity to nature,Aesthetics,Parking,High quality kitchen,High quality of bathrooms,Pet-friendliness,Walkability",98121,2021-10-27 05:07:40,2021-10-27 05:11:22,6027b5d710
oqlmdnmi4oqm11gmfaoqlmryi5wjfvnn,1,,,,,< 6 months,18 to 24,Female,Native American,United States of America,MN,Grad School,2,0,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Zillow,,,Unsure,Unsure,Unsure,Unsure,Unsure,Yes,Unsure,Yes,Yes,Yes,Unsure,Yes,Yes,Yes,Yes,Yes,Unsure,Unsure,Yes,,Yes,,Yes,No,Yes,Yes,Unsure,No,Unsure,Unsure,Unsure,No,Unsure,Unsure,Unsure,Unsure,Unsure,No,"Price of rent,Proximity to nature,Proximity to bars / social scene,Walkability,Pet-friendliness,High quality of bathrooms,Parking,High quality of amenities,Safety / lack of crime,Proximity to friends,High quality kitchen,Aesthetics,High quality of roommates,Size of housing (i.e. square feet),Bikability",98121,2021-10-27 02:41:48,2021-10-27 02:49:18,2d731df42c
li7kl0wtf5d2ynafbvli7kulbbspvcew,1,,,,,< 5 years,25 to 34,Man,White,United States of America,CA,School,3,167000,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Unsure,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Unsure,Yes,Yes,Unsure,Yes,Unsure,"Pet-friendliness,Price of rent,Proximity to friends,Size of housing (i.e. square feet),Parking,Walkability,Proximity to nature,High quality of bathrooms,Aesthetics,Proximity to bars / social scene,Safety / lack of crime,High quality of amenities,High quality kitchen,High quality of roommates,Bikability",98125,2021-10-27 02:18:42,2021-10-27 02:27:45,62532184b9
v8fpct1nxqggng1v8filk5u1f1ydjwh2,1,,,,,< 1 year,25 to 34,Female,White,United States of America,VT,Grad school,1,28000,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Facebook,,,No,No,No,Unsure,Unsure,Yes,No,Yes,No,Unsure,Unsure,No,No,No,No,No,No,No,Unsure,Unsure,No,No,No,No,No,No,Unsure,No,No,No,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,"Safety / lack of crime,Price of rent,Proximity to friends,Proximity to nature,High quality of roommates,Parking,Size of housing (i.e. square feet),High quality of bathrooms,Walkability,Proximity to bars / social scene,High quality kitchen,Aesthetics,High quality of amenities,Pet-friendliness,Bikability",98103,2021-10-26 23:27:03,2021-10-26 23:33:04,7823044471
azec1ziewc30l5gsu99azec1d915ja9u,1,,,,,< 1 year,25 to 34,Female,White,United States of America,NY,"Lifestyle, relationship, job opps",2,90000,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Zillow,,,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"Price of rent,High quality kitchen,High quality of bathrooms,Aesthetics,Parking,Walkability,Proximity to bars / social scene,Proximity to nature,Safety / lack of crime,Proximity to friends,Size of housing (i.e. square feet),High quality of amenities,High quality of roommates,Pet-friendliness,Bikability",98103,2021-10-26 20:23:48,2021-10-26 20:27:35,45f54dd902
azgcy9q6w1zaws4efazgcylqtwbnwmi8,1,,,,,More than 5 years,25 to 34,Male,Asian,United States of America,MN,Work,3,125000,Neutral,Agree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Zillow,,,Yes,No,No,Yes,Unsure,Yes,Unsure,Yes,No,Unsure,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,No,Unsure,Yes,Unsure,"Size of housing (i.e. square feet),Price of rent,Safety / lack of crime,Parking,Walkability,Bikability,High quality of roommates,Proximity to nature,Proximity to friends,Aesthetics,Proximity to bars / social scene,High quality of amenities,High quality kitchen,High quality of bathrooms,Pet-friendliness",98106,2021-10-26 20:05:27,2021-10-26 20:12:44,92ae99f5e7
ms7cgpfmrhfd922ms7cgvvxdyvxx2xdl,1,,,,,< 1 year,25 to 34,Male,White,United States of America,GA,Work and the mountains,1,60000,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Craigslist,,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,"Proximity to nature,Safety / lack of crime,High quality kitchen,Price of rent,Parking,Proximity to friends,Bikability,Aesthetics,Walkability,High quality of amenities,Size of housing (i.e. square feet),High quality of roommates,Pet-friendliness,High quality of bathrooms,Proximity to bars / social scene",98103,2021-10-26 19:31:57,2021-10-26 19:36:06,dab1d5a1a1
neg31xeb1etmhfmneg3rsoixa0uh8s11,1,,,,,< 6 months,18 to 24,female,white,United States of America,NY,job,1,110000,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Apartments.com,,,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"Price of rent,Safety / lack of crime,Walkability,Proximity to friends,Proximity to bars / social scene,Proximity to nature,High quality of bathrooms,High quality kitchen,Aesthetics,Size of housing (i.e. square feet),High quality of amenities,Parking,Bikability,Pet-friendliness,High quality of roommates",98122,2021-10-26 18:24:56,2021-10-26 18:46:15,90c9710e6a
8rpziwz4xrc6hoxrg5n7t8rpzi5ev10x,1,,,,,< 2 years,18 to 24,Female,White,United States of America,OH,Work!,2,125000,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Apartments.com,,,,,,,,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,,No,Yes,,,,,,,"Unsure,Yes",,,,,,,"Price of rent,Proximity to friends,Proximity to bars / social scene,Safety / lack of crime,Walkability,Proximity to nature,Parking,High quality kitchen,High quality of bathrooms,Aesthetics,Pet-friendliness,High quality of amenities,Size of housing (i.e. square feet),High quality of roommates,Bikability",98104,2021-10-26 18:08:12,2021-10-26 18:14:44,0fa13052d4
s565p7tjzpwmje51uks565on9hzuj0l8,1,,,,,< 2 years,18 to 24,Female,Black,United States of America,OH,Work,2,120000,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Zillow,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Safety / lack of crime,High quality of roommates,High quality kitchen,High quality of amenities,Size of housing (i.e. square feet),Aesthetics,Proximity to friends,Proximity to bars / social scene,Walkability,Parking,Pet-friendliness,Price of rent,High quality of bathrooms,Proximity to nature,Bikability",98104,2021-10-26 18:09:43,2021-10-26 18:14:43,8b8be66901
tum3hnyaz6g567tumlghxuh2zf7cta92,1,,,,,< 6 months,25 to 34,Male,White,United States of America,ME,Change of scenery,4,70000,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,,Friends,,Unsure,Unsure,Unsure,Unsure,Unsure,Yes,Unsure,Yes,No,Unsure,Unsure,Yes,Unsure,Unsure,Yes,Unsure,Unsure,Unsure,Unsure,Yes,Unsure,Unsure,Yes,Unsure,Unsure,Unsure,No,Unsure,No,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,"Price of rent,High quality of roommates,Safety / lack of crime,High quality of bathrooms,High quality kitchen,Proximity to nature,High quality of amenities,Parking,Walkability,Pet-friendliness,Proximity to bars / social scene,Proximity to friends,Size of housing (i.e. square feet),Bikability,Aesthetics",98122,2021-10-26 18:02:05,2021-10-26 18:11:16,aa1b6d2b68
2uor1c68la8k9h2hb0hc2uor1szbjuh7,1,,,,,,18 to 24,Female,White,United States of America,CO,School,1,,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Apartments.com,,,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,"Price of rent,Proximity to bars / social scene,Pet-friendliness,High quality kitchen,Proximity to nature,Size of housing (i.e. square feet),Parking,Aesthetics,Safety / lack of crime,Proximity to friends,High quality of amenities,High quality of roommates,Walkability,High quality of bathrooms,Bikability",98144,2021-10-26 18:06:13,2021-10-26 18:09:55,b6ce36934b
fyuw1t9jlou2rd9r7dfyuw1l8wht80wf,1,,,,,< 5 years,25 to 34,Male,White,United States of America,VT,Work,4,88000,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,,Friends,,No,Unsure,No,Unsure,Unsure,Yes,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Unsure,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"High quality of roommates,High quality kitchen,High quality of bathrooms,High quality of amenities,Price of rent,Aesthetics,Size of housing (i.e. square feet),Proximity to bars / social scene,Proximity to friends,Proximity to nature,Parking,Safety / lack of crime,Walkability,Bikability,Pet-friendliness",98122,2021-10-26 17:49:28,2021-10-26 17:55:17,bc105277ff
lzk1om2re3qlz0k4itispopdt0fau4oz,1,,,,,< 2 years,25 to 34,Male,White,United States of America,NH,Job out of college,2,140000,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Zillow,,,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Proximity to bars / social scene,Price of rent,High quality of bathrooms,Proximity to nature,Proximity to friends,Parking,Safety / lack of crime,High quality kitchen,Aesthetics,High quality of amenities,Size of housing (i.e. square feet),High quality of roommates,Walkability,Bikability,Pet-friendliness",98103,2021-10-26 17:40:07,2021-10-26 17:43:54,2deac00a36
id4zoswhyc48ap72rid4zoswliwhwdqa,1,,,,,< 6 months,18 to 24,Male,Asian,Denmark,NH,Work,2,110000,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Zillow,,,No,No,No,No,No,Yes,No,No,Unsure,Unsure,No,Yes,No,No,Yes,Yes,Yes,No,No,Unsure,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,"Proximity to bars / social scene,Walkability,Price of rent,High quality kitchen,Proximity to friends,High quality of bathrooms,Parking,Aesthetics,Size of housing (i.e. square feet),Safety / lack of crime,Proximity to nature,High quality of amenities,High quality of roommates,Pet-friendliness,Bikability",98101,2021-10-26 17:39:23,2021-10-26 17:42:41,4f77e1ff7c
ogzbeik3i4wk6ii2ogzbeiymp22w20dh,1,,,,,< 2 years,18 to 24,Female,White,United States of America,MD,Boeing job,1,97000,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Zillow,,,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"Price of rent,Proximity to bars / social scene,Safety / lack of crime,Parking,High quality of bathrooms,Proximity to friends,Size of housing (i.e. square feet),High quality of amenities,Proximity to nature,High quality kitchen,Aesthetics,High quality of roommates,Pet-friendliness,Walkability,Bikability",98112,2021-10-26 17:38:53,2021-10-26 17:42:39,cfb8596a6c
7uhrznqz70rt1o39u47uhrznqgcpubor,1,,,,,< 6 months,25 to 34,,,United States of America,MN,Grad School,2,30000,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Apartments.com,,,No,No,No,Yes,,Yes,Yes,Yes,Yes,Unsure,Unsure,Yes,Yes,Yes,Yes,"Yes,No",No,No,No,Yes,Yes,Unsure,Yes,No,Yes,Yes,No,Yes,Unsure,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,"Price of rent,Pet-friendliness,Walkability,Parking,High quality of roommates,Proximity to friends,Proximity to bars / social scene,Aesthetics,High quality of amenities,Proximity to nature,Bikability,High quality of bathrooms,Safety / lack of crime,High quality kitchen,Size of housing (i.e. square feet)",98121,2021-10-26 17:34:12,2021-10-26 17:39:17,de33db2fce
q54r6tm2xeb37qyrntq54r6tkcjnn3ku,1,,,,,< 6 months,25 to 34,,,United States of America,FL,Job/boyfriend,2,90000,Neutral,Agree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Craigslist,,,No,No,No,No,No,Yes,Unsure,No,No,No,No,Unsure,No,No,Yes,Yes,No,Unsure,Yes,No,No,No,No,Unsure,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Safety / lack of crime,Walkability,High quality kitchen,High quality of amenities,High quality of bathrooms,Proximity to nature,Proximity to bars / social scene,Aesthetics,Price of rent,Pet-friendliness,Proximity to friends,Size of housing (i.e. square feet),Parking,High quality of roommates,Bikability",98112,2021-10-26 17:27:37,2021-10-26 17:34:05,07cf43fd96
4vfnxj1ohpuuxvtqk4vfnslgwaxu4s3n,1,,,,,< 5 years,18 to 24,,,United States of America,WY,Professional and personal growth,2,49000,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Zillow,,,Unsure,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,"Price of rent,Proximity to nature,Proximity to friends,High quality kitchen,Size of housing (i.e. square feet),Parking,Proximity to bars / social scene,High quality of bathrooms,Aesthetics,Walkability,Bikability,High quality of roommates,Safety / lack of crime,Pet-friendliness,High quality of amenities",98144,2021-10-26 17:24:05,2021-10-26 17:28:22,c3cfccdc3f
lawe0s4p8mjilzlxslawe0s4pfn8fgv7,1,,,,,< 5 years,18 to 24,,,United States of America,TX,My brother was already here and I needed a place to stay.,2,92000,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Zillow,,,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,"Price of rent,High quality of roommates,Proximity to bars / social scene,Proximity to friends,Proximity to nature,High quality kitchen,Walkability,Aesthetics,Safety / lack of crime,Size of housing (i.e. square feet),Parking,High quality of bathrooms,High quality of amenities,Bikability,Pet-friendliness",98122,2021-10-26 17:17:47,2021-10-26 17:20:28,c7f3e2cfcb